"filename", "language", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\CommentsViewer\CommentItem\index.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 0, 0, 0, 12, 108
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\CommentsViewer\index.tsx", "TypeScript JSX", 0, 0, 129, 0, 0, 0, 0, 0, 20, 149
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\CommentsViewer\styles.scss", "SCSS", 0, 0, 0, 0, 0, 33, 0, 0, 12, 45
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\CustomUI\Button0\index.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\CustomUI\Button0\style.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 5, 13
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\GeneralRoutes\index.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\Logo\index.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\Logo\styles.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\SearchPage\VideoItem\index.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\SearchPage\VideoItem\style.scss", "SCSS", 0, 0, 0, 0, 0, 30, 0, 0, 12, 42
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\SearchPage\index.tsx", "TypeScript JSX", 0, 0, 73, 0, 0, 0, 0, 0, 10, 83
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\SearchPage\style.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\ChannelSettings\index.tsx", "TypeScript JSX", 0, 0, 148, 0, 0, 0, 0, 0, 15, 163
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\ChannelSettings\style.scss", "SCSS", 0, 0, 0, 0, 0, 53, 0, 0, 21, 74
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoCreate\index.tsx", "TypeScript JSX", 0, 0, 239, 0, 0, 0, 0, 0, 21, 260
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoCreate\style.scss", "SCSS", 0, 0, 0, 0, 0, 103, 0, 0, 33, 136
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\CommentsOverview\index.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\VideoEdit\index.tsx", "TypeScript JSX", 0, 0, 206, 0, 0, 0, 0, 0, 24, 230
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\VideoEdit\style.scss", "SCSS", 0, 0, 0, 0, 0, 103, 0, 0, 33, 136
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\VideoStats\index.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\index.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\style.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideosList\VideoItem\index.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideosList\VideoItem\style.scss", "SCSS", 0, 0, 0, 0, 0, 23, 0, 0, 11, 34
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideosList\index.tsx", "TypeScript JSX", 0, 0, 61, 0, 0, 0, 0, 0, 8, 69
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideosList\style.scss", "SCSS", 0, 0, 0, 0, 0, 20, 0, 0, 9, 29
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\index.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\types.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\index.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 0, 0, 0, 11, 77
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\style.scss", "SCSS", 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoMain\VideoElement\index.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoMain\VideoElement\styles.scss", "SCSS", 0, 0, 0, 0, 0, 67, 0, 0, 27, 94
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoMain\index.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 7, 47
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\ChannelButton\index.tsx", "TypeScript JSX", 0, 0, 79, 0, 0, 0, 0, 0, 12, 91
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\ChannelButton\style.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 9, 30
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\MarkVideo\index.tsx", "TypeScript JSX", 0, 0, 70, 0, 0, 0, 0, 0, 12, 82
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\MarkVideo\style.scss", "SCSS", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\OtherVideos\index.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\PlaylistViewer\VideoItem\index.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\PlaylistViewer\VideoItem\style.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 14, 43
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\PlaylistViewer\index.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 9, 60
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\PlaylistViewer\style.scss", "SCSS", 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\ReportModal\index.tsx", "TypeScript JSX", 0, 0, 74, 0, 0, 0, 0, 0, 11, 85
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\ReportModal\style.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\VideoElement\index.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\VideoElement\style.scss", "SCSS", 0, 0, 0, 0, 0, 35, 0, 0, 16, 51
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\index.tsx", "TypeScript JSX", 0, 0, 165, 0, 0, 0, 0, 0, 15, 180
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\style.scss", "SCSS", 0, 0, 0, 0, 0, 45, 0, 0, 20, 65
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPlayer\index.tsx", "TypeScript JSX", 0, 0, 42, 0, 0, 0, 0, 0, 8, 50
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPlayer\style.scss", "SCSS", 0, 0, 0, 0, 0, 27, 0, 0, 9, 36
